company,programms,value
Armstrong Flight Research Center,United Airlines,1.0
Armstrong Flight Research Center,Mitsubishi A6M Zero,1.0
Armstrong Flight Research Center,Everts Air,1.0
Blue Origin,OneWeb,2.0
Blue Origin,Starlink,1.0
ClearSpace,Вега (ракета-носитель),1.0
ClearSpace,OneWeb,1.0
European Space Agency ESA,Международная космическая станция,4.0
European Space Agency ESA,OneWeb,1.0
European Space Agency ESA,United Airlines,4.0
European Space Agency ESA,SwissCube,1.0
European Space Agency ESA,Jason-3,1.0
European Space Agency ESA,Вега (ракета-носитель),4.0
European Space Agency ESA,United Launch Alliance,1.0
Federal Aviation Administration,Virgin Galactic,1.0
Federal Aviation Administration,United Launch Alliance,1.0
Federal Aviation Administration,Everts Air,1.0
Federal Aviation Administration,United Airlines,3.0
Federal Aviation Administration,Mitsubishi A6M Zero,1.0
Guiana Space Center,Вега (ракета-носитель),1.0
Guiana Space Center,GSAT-19,1.0
Guiana Space Center,GSAT-17,1.0
Italian Space Agency (Agenzia Spaziale Italiana),Вега (ракета-носитель),1.0
Japan Aerospace Exploration Agency,Вега (ракета-носитель),1.0
Japan Aerospace Exploration Agency,OneWeb,1.0
Jet Propulsion Laboratory,InSight,1.0
Jet Propulsion Laboratory,Аполлон (космическая программа),1.0
Jet Propulsion Laboratory,Планк (космическая обсерватория),1.0
Jet Propulsion Laboratory,United Airlines,1.0
Jet Propulsion Laboratory,Дискавери (шаттл),1.0
Jet Propulsion Laboratory,GGS WIND,1.0
Kennedy Space Center,United Airlines,1.0
Kennedy Space Center,OneWeb,1.0
Leonardo,Вега (ракета-носитель),1.0
Marshall Space Flight Center,United Airlines,1.0
Marshall Space Flight Center,GGS WIND,1.0
Marshall Space Flight Center,InSight,1.0
Marshall Space Flight Center,Планк (космическая обсерватория),1.0
Marshall Space Flight Center,Аполлон (космическая программа),1.0
Marshall Space Flight Center,Дискавери (шаттл),1.0
Meggitt PLC,United Airlines,1.0
Naked Science,Международная космическая станция,1.0
Rocket Lab,OneWeb,1.0
Rocket Lab,Вега (ракета-носитель),1.0
Roscosmos,Международная космическая станция,3.0
Safran,United Airlines,1.0
Safran,Вега (ракета-носитель),2.0
Space Research Center,United Airlines,1.0
Space Research Center,GGS WIND,1.0
Space Research Center,InSight,1.0
Space Research Center,Аполлон (космическая программа),1.0
Space Research Center,Дискавери (шаттл),1.0
Space Research Center,Планк (космическая обсерватория),1.0
SpaceNews ,Inmarsat-5 F4,1.0
SpaceNews ,United Airlines,3.0
SpaceNews ,Вега (ракета-носитель),1.0
SpaceNews ,OneWeb,4.0
SpaceNews ,Lufthansa,1.0
SpaceNews ,Ka-Sat,1.0
SpaceNews ,Qatar Airways,1.0
SpaceNews ,United Launch Alliance,1.0
SpaceNews ,Амос-6,1.0
SpaceNews ,SwissCube,1.0
SpaceNews ,Jason-3,1.0
SpaceX,United Launch Alliance,1.0
SpaceX,Lufthansa,1.0
SpaceX,Inmarsat-5 F4,1.0
SpaceX,SwissCube,1.0
SpaceX,Starlink,1.0
SpaceX,United Airlines,2.0
SpaceX,Virgin Galactic,1.0
SpaceX,Вега (ракета-носитель),1.0
SpaceX,Qatar Airways,1.0
SpaceX,OneWeb,3.0
Starlink,OneWeb,1.0
Starlink,Starlink,1.0
UK space agency,OneWeb,1.0
UK space agency,Вега (ракета-носитель),1.0
US National Aeronautics and Space Administration (NASA),Артемида (космическая программа),1.0
US National Aeronautics and Space Administration (NASA),Дискавери (шаттл),1.0
US National Aeronautics and Space Administration (NASA),GGS WIND,1.0
US National Aeronautics and Space Administration (NASA),United Launch Alliance,2.0
US National Aeronautics and Space Administration (NASA),Международная космическая станция,3.0
US National Aeronautics and Space Administration (NASA),InSight,1.0
US National Aeronautics and Space Administration (NASA),ASM-135 ASAT,1.0
US National Aeronautics and Space Administration (NASA),Virgin Galactic,1.0
US National Aeronautics and Space Administration (NASA),Everts Air,1.0
US National Aeronautics and Space Administration (NASA),Mitsubishi A6M Zero,1.0
US National Aeronautics and Space Administration (NASA),OneWeb,2.0
US National Aeronautics and Space Administration (NASA),United Airlines,8.0
US National Aeronautics and Space Administration (NASA),Вега (ракета-носитель),1.0
US National Aeronautics and Space Administration (NASA),Аполлон (космическая программа),1.0
US National Aeronautics and Space Administration (NASA),Dragonfly (космический аппарат),1.0
US National Aeronautics and Space Administration (NASA),Планк (космическая обсерватория),1.0
US National Aeronautics and Space Administration (NASA),Jason-3,1.0
United Launch Alliance,United Airlines,2.0
United Launch Alliance,United Launch Alliance,2.0
United Launch Alliance,Virgin Galactic,1.0
United Launch Alliance,Jason-3,1.0
United Launch Alliance,OneWeb,1.0
Virgin Galactic,United Launch Alliance,1.0
Virgin Galactic,United Airlines,1.0
Virgin Galactic,Virgin Galactic,1.0
