company,country,colors
Guiana Space Center,France,#16302B
European Space Agency ESA,France,#16302B
Space Research Center,India,#694873
Italian Space Agency (Agenzia Spaziale Italiana),Italy,#85B79D
Leonardo,Italy,#85B79D
Japan Aerospace Exploration Agency,Japan,#E53504
Roscosmos,Russia,#1D8DCA
ClearSpace,Switzerland,#EF9710
UK space agency,UK,#B09398
Meggitt PLC,UK,#B09398
Virgin Galactic,USA,#5B4591
Jet Propulsion Laboratory,USA,#5B4591
Marshall Space Flight Center,USA,#5B4591
United Launch Alliance,USA,#5B4591
Blue Origin,USA,#5B4591
Federal Aviation Administration,USA,#5B4591
SpaceNews ,USA,#5B4591
Kennedy Space Center,USA,#5B4591
Rocket Lab,USA,#5B4591
Armstrong Flight Research Center,USA,#5B4591
Safran,USA,#5B4591
Starlink,USA,#5B4591
Naked Science,USA,#5B4591
NASA,USA,#5B4591
SpaceX,USA,#5B4591
